title,type,agency_names,abstract,citation,document_number,html_url,pdf_url,publication_date,Title Product,Title Note,Assignment,Product Name,Patent No.,Company,Reg Rev Period,Testing Phase,Approval Phase,IND/IDE Filing Date,NDA/PMA Filing Date,Approval Date,Application No.,Pat Term Ext
Determination of Regulatory Review Period for Purposes of Patent Extension; DemadexSUPTM,Uncategorized Document,Health and Human Services Department,"The Food and Drug Administration (FDA) has determined the regulatory review period for Demadex<SUP>TM and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human drug product.",,94-17738,https://www.federalregister.gov/documents/1994/07/21/94-17738/determination-of-regulatory-review-period-for-purposes-of-patent-extension-demadexsuptm,,1994-07-21, DemadexSUPTM,,,Demadex<SUP>TM,Re. 30633,A. Christians Societe Anonyme,2790.0,1882.0,908.0,"January 4, 1986",1986-01-10,1993-08-23,NDA 20-136,5
Determination of Regulatory Review Period for Purposes of Patent Extension; CattlystRegister 50 Type A Medicated Article,Uncategorized Document,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for Cattlyst<Register> 50 Type A Medicated Article and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that animal drug product.",,94-17814,https://www.federalregister.gov/documents/1994/07/22/94-17814/determination-of-regulatory-review-period-for-purposes-of-patent-extension-cattlystregister-50-type,,1994-07-22, CattlystRegister 50 Type A Medicated Article,,,Cattlyst<Register> 50 Type A Medicated Article,4431665,"Syntex (U.S.A), Inc.",4253.0,3762.0,491.0,"July 14, 1982",1982-07-14,1994-03-04,NADA 141-025,3
Determination of Regulatory Review Period for Purposes of Patent Extension; DovonexRegister,Uncategorized Document,Health and Human Services Department,"The Food and Drug Administration (FDA) has determined the regulatory review period for Dovonex<Register> and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human drug product.",,94-21156,https://www.federalregister.gov/documents/1994/08/29/94-21156/determination-of-regulatory-review-period-for-purposes-of-patent-extension-dovonexregister,,1994-08-29, DovonexRegister,,,Dovonex<Register>,4866048,"Leo Pharmaceutical Products, Ltd.",1149.0,510.0,639.0,"November 8, 1990",1990-11-08,1993-12-29,NDA 20-273,473
Determination of Regulatory Review Period for Purposes of Patent Extension; EffexorRegister,Uncategorized Document,Health and Human Services Department,"The Food and Drug Administration (FDA) has determined the regulatory review period for Effexor<Register> and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human drug product.",,94-21287,https://www.federalregister.gov/documents/1994/08/30/94-21287/determination-of-regulatory-review-period-for-purposes-of-patent-extension-effexorregister,,1994-08-30, EffexorRegister,,,Effexor<Register>,4535186,American Home Products Corp.,2959.0,1981.0,978.0,"November 23, 1985",1991-04-26,1993-12-28,NDA 20-151,5
Determination of Regulatory Review Period for Purposes of Patent Extension; KytrilSUPTM,Uncategorized Document,Health and Human Services Department,"The Food and Drug Administration (FDA) has determined the regulatory review period for Kytril<SUP>TM and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human drug product.",,94-21282,https://www.federalregister.gov/documents/1994/08/30/94-21282/determination-of-regulatory-review-period-for-purposes-of-patent-extension-kytrilsuptm,,1994-08-30, KytrilSUPTM,,,Kytril<SUP>TM,4886808,Beecham Group p.l.c.,1996.0,1371.0,625.0,"July 14, 1988",1988-07-14,1993-12-29,NDA 20-,382
Determination of Regulatory Review Period for Purposes of Patent Extension; LipidilRegister,Uncategorized Document,Health and Human Services Department,"The Food and Drug Administration (FDA) has determined the regulatory review period for Lipidil<Register> and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human drug product.",,94-21285,https://www.federalregister.gov/documents/1994/08/30/94-21285/determination-of-regulatory-review-period-for-purposes-of-patent-extension-lipidilregister,,1994-08-30, LipidilRegister,,,Lipidil<Register>,4739101,Fournier Innovation et Synergie,4501.0,1003.0,3498.0,"September 6, 1981",1981-09-06,1993-12-31,NDA 19-304,256
Determination of Regulatory Review Period for Purposes of Patent Extension; LivostinRegister,Uncategorized Document,Health and Human Services Department,"The Food and Drug Administration (FDA) has determined the regulatory review period for Livostin<Register> and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human drug product.",,94-21283,https://www.federalregister.gov/documents/1994/08/30/94-21283/determination-of-regulatory-review-period-for-purposes-of-patent-extension-livostinregister,,1994-08-30, LivostinRegister,,,Livostin<Register>,4369184,Janssen Pharmaceutica N.V.,2779.0,2000.0,779.0,"April 4, 1986",1986-04-04,1993-11-10,NDA 20-219,1779
Determination of Regulatory Review Period for Purposes of Patent Extension; NeurontinRegister,Uncategorized Document,Health and Human Services Department,"The Food and Drug Administration (FDA) has determined the regulatory review period for Neurontin<Register> and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human drug product.",,94-21288,https://www.federalregister.gov/documents/1994/08/30/94-21288/determination-of-regulatory-review-period-for-purposes-of-patent-extension-neurontinregister,,1994-08-30, NeurontinRegister,,,Neurontin<Register>,4087544,Warner-Lambert Co.,2740.0,2040.0,700.0,"July 2, 1986",1992-01-31,1993-12-30,NDA 20-235,1726
Determination of Regulatory Review Period for Purposes of Patent Extension; NeutrexinSUPTM,Uncategorized Document,Health and Human Services Department,"The Food and Drug Administration (FDA) has determined the regulatory review period for Neutrexin<SUP>TM and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human drug product.",,94-21280,https://www.federalregister.gov/documents/1994/08/30/94-21280/determination-of-regulatory-review-period-for-purposes-of-patent-extension-neutrexinsuptm,,1994-08-30, NeutrexinSUPTM,,,Neutrexin<SUP>TM,4376858,Warner-Lambert Co.,2251.0,1934.0,317.0,"October 21, 1987",1987-03-30,1993-12-17,IND 29,1310
Determination of Regulatory Review Period for Purposes of Patent Extension; RisperdalRegister,Uncategorized Document,Health and Human Services Department,"The Food and Drug Administration (FDA) has determined the regulatory review period for Risperdal<Register> and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human drug product.",,94-21284,https://www.federalregister.gov/documents/1994/08/30/94-21284/determination-of-regulatory-review-period-for-purposes-of-patent-extension-risperdalregister,,1994-08-30, RisperdalRegister,,,Risperdal<Register>,4804663,Janssen Pharmaceutica N.V.,1940.0,1316.0,624.0,"September 8, 1988",1988-09-08,1993-12-29,NDA 20-272,683
Determination of Regulatory Review Period for Purposes of Patent Extension; ZosynRegister,Uncategorized Document,Health and Human Services Department,"The Food and Drug Administration (FDA) has determined the regulatory review period for Zosyn<Register> and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human drug product.",,94-21286,https://www.federalregister.gov/documents/1994/08/30/94-21286/determination-of-regulatory-review-period-for-purposes-of-patent-extension-zosynregister,,1994-08-30, ZosynRegister,,,Zosyn<Register>,4562073,"Taiho Pharmaceutical Co., Ltd.",1819.0,1038.0,781.0,"October 31, 1988",1988-06-14,1993-10-22,IND 31,1358
Determination of Regulatory Review Period for Purposes of Patent Extension; AviaxRegister,Uncategorized Document,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for Aviax<Register> and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that animal drug product.",,94-21789,https://www.federalregister.gov/documents/1994/09/06/94-21789/determination-of-regulatory-review-period-for-purposes-of-patent-extension-aviaxregister,,1994-09-06, AviaxRegister,,,Aviax<Register>,4804680,Pfizer Inc.,2438.0,736.0,1702.0,"July 9, 1987",1994-03-10,1994-03-10,NADA 140-940,755
Determination of Regulatory Review Period for Purposes of Patent Extension; PrografSUPTM,Uncategorized Document,Health and Human Services Department,"The Food and Drug Administration (FDA) has determined the regulatory review period for Prograf<SUP>TM and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human drug product.",,94-22036,https://www.federalregister.gov/documents/1994/09/07/94-22036/determination-of-regulatory-review-period-for-purposes-of-patent-extension-prografsuptm,,1994-09-07, PrografSUPTM,,,,,,,,,,,,,
Determination of Regulatory Review Period for Purposes of Patent Extension; ZemuronSUPTM Injection,Uncategorized Document,Health and Human Services Department,"The Food and Drug Administration (FDA) has determined the regulatory review period for Zemuron<SUP>TM Injection and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human drug product.",,94-22760,https://www.federalregister.gov/documents/1994/09/15/94-22760/determination-of-regulatory-review-period-for-purposes-of-patent-extension-zemuronsuptm-injection,,1994-09-15, ZemuronSUPTM Injection,,,Zemuron<SUP>TM Injection,4894369,"Akzo Nobel, N.V.",1889.0,1627.0,262.0,"January 15, 1994",1994-01-15,1994-03-17,NDA 20-214,427
Determination of Regulatory Review Period for Purposes of Patent Extension; SemprexSUPTM-D Capsules,Uncategorized Document,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for Semprex<SUP>TM-D Capsules and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human drug product.",,94-23276,https://www.federalregister.gov/documents/1994/09/21/94-23276/determination-of-regulatory-review-period-for-purposes-of-patent-extension-semprexsuptm-d-capsules,,1994-09-21, SemprexSUPTM-D Capsules,,,Semprex<SUP>TM-D Capsules,4650807,Burroughs Wellcome Co.,3489.0,1210.0,2279.0,"September 6, 1984",1984-09-06,1994-03-25,NDA 19-806,1469
Determination of Regulatory Review Period for Purposes of Patent Extension; Netrexingreek-Tgreek-M,Uncategorized Document,Health and Human Services Department; Food and Drug Administration,,,X94-41005,https://www.federalregister.gov/documents/1994/10/05/X94-41005/determination-of-regulatory-review-period-for-purposes-of-patent-extension-netrexingreek-tgreek-m,,1994-10-05, Netrexingreek-Tgreek-M,,,,,,,,,,,,,
Determination of Regulatory Review Period for Purposes of Patent Extension; NeurontinRegister,Uncategorized Document,Health and Human Services Department; Food and Drug Administration,,,X94-51005,https://www.federalregister.gov/documents/1994/10/05/X94-51005/determination-of-regulatory-review-period-for-purposes-of-patent-extension-neurontinregister,,1994-10-05, NeurontinRegister,,,,,,,,,,,,,
Determination of Regulatory Review Period for Purposes of Patent Extension; CPIRegister VentakRegister PRxRegister AICD System,Uncategorized Document,Health and Human Services Department,"The Food and Drug Administration (FDA) has determined the regulatory review period for CPI<Register> Ventak<Register> PRx<Register> AICD System and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that medical device.",,94-28064,https://www.federalregister.gov/documents/1994/11/15/94-28064/determination-of-regulatory-review-period-for-purposes-of-patent-extension-cpiregister,,1994-11-15, CPIRegister VentakRegister PRxRegister AICD System,,,CPI<Register> Ventak<Register> PRx<Register> AICD System,4407288,"Cardiac Pacemakers, Inc.",1306.0,398.0,908.0,"November 21, 1990",1990-11-21,1994-06-17,PMA P910077,394
Determination of Regulatory Review Period for Purposes of Patent Extension; ZeritRegister,Uncategorized Document,Health and Human Services Department,"The Food and Drug Administration (FDA) has determined the regulatory review period for Zerit<Register> and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human drug product.",,94-28194,https://www.federalregister.gov/documents/1994/11/16/94-28194/determination-of-regulatory-review-period-for-purposes-of-patent-extension-zeritregister,,1994-11-16, ZeritRegister,,,Zerit<Register>,4978655,Yale University,1984.0,1805.0,179.0,"January 19, 1989",1988-12-16,1994-06-24,IND 32,188
Determination of Regulatory Review Period For Purposes of Patent Extension; CognexRegister,Uncategorized Document,Health and Human Services Department,"The Food and Drug Administration (FDA) has determined the regulatory review period for Cognex<Register> and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human drug product.",,94-30235,https://www.federalregister.gov/documents/1994/12/08/94-30235/determination-of-regulatory-review-period-for-purposes-of-patent-extension-cognexregister,,1994-12-08, CognexRegister,,,Cognex<Register>,4 816456,William K. Summers,2289.0,1095.0,1194.0,"June 6, 1987",1990-06-04,1993-09-09,NDA 20-,531
Determination of Regulatory Review Period for Purposes of Patent Extension; ZemuronSUPTM Injection; Correction,Notice,Health and Human Services Department,"The Food and Drug Administration (FDA) is correcting the notice that appeared in the Federal Register of September 15, 1994. The document announced FDA's determination of the regulatory review period for purposes of patent extension for Zeuron<SUP>TM Injection (rocuronium bromide). The document was published with some errors. The document incorrectly stated: ``1. The date an exemption under section 505(i) of the Federal Food, Drug, and Cosmetic Act became effective: January 15, 1994. The applicant claims January 14, 1989, as [[Page 130]] the date the investigational new drug application (IND) became effective. However, FDA records indicate that the IND effective date was January 15, 1994, which was 30 days after FDA receipt of the IND.'' The document should have stated: ``1. The date an exemption under section 505(i) of the Federal Food, Drug, and Cosmetic Act became effective: January 15, 1989. The applicant claims January 14, 1989, as the date the investigational new drug application (IND) became effective. However, FDA records indicate that the IND effective date was January 15, 1989, which was 30 days after FDA receipt of the IND.'' This document corrects those errors.",60 FR 129,94-32242,https://www.federalregister.gov/documents/1995/01/03/94-32242/determination-of-regulatory-review-period-for-purposes-of-patent-extension-zemuronsuptm-injection,https://www.govinfo.gov/content/pkg/FR-1995-01-03/pdf/94-32242.pdf,1995-01-03, ZemuronSUPTM Injection, Correction,,,,,,,,,,,,
Determination of Regulatory Review Period for Purposes of Patent Extension; NetrexinSUPTM,Correction,Health and Human Services Department; Food and Drug Administration,,60 FR 5252,X95-50126,https://www.federalregister.gov/documents/1995/01/26/X95-50126/determination-of-regulatory-review-period-for-purposes-of-patent-extension-netrexinsuptm,https://www.govinfo.gov/content/pkg/FR-1995-01-26/pdf/X95-50126.pdf,1995-01-26, NetrexinSUPTM,,,,,,,,,,,,,
Determination of Regulatory Review Period for Purposes of Patent Extension; AlbunexRegister,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for Albunex<Register> and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that medical device.",60 FR 11671,95-5183,https://www.federalregister.gov/documents/1995/03/02/95-5183/determination-of-regulatory-review-period-for-purposes-of-patent-extension-albunexregister,https://www.govinfo.gov/content/pkg/FR-1995-03-02/pdf/95-5183.pdf,1995-03-02, AlbunexRegister,,,Albunex<Register>,4844882,"Molecular Biosystems, Inc.",2397.0,975.0,1422.0,"January 14, 1988",1988-01-14,1994-08-05,PMA P900059,763
Determination of Regulatory Review Period for Purposes of Patent Extension; SemprexSUPTM-D Capsules,Correction,Health and Human Services Department; Food and Drug Administration,,60 FR 15822,X95-30327,https://www.federalregister.gov/documents/1995/03/27/X95-30327/determination-of-regulatory-review-period-for-purposes-of-patent-extension-semprexsuptm-d-capsules,https://www.govinfo.gov/content/pkg/FR-1995-03-27/pdf/X95-30327.pdf,1995-03-27, SemprexSUPTM-D Capsules,,,,,,,,,,,,,
Determination of Regulatory Review Period for Purposes of Patent Extension; LUVOXSUPTM,Notice,Health and Human Services Department,"The Food and Drug Administration (FDA) has determined the regulatory review period for LUVOX<SUP>TM and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human drug product.",60 FR 20105,95-10073,https://www.federalregister.gov/documents/1995/04/24/95-10073/determination-of-regulatory-review-period-for-purposes-of-patent-extension-luvoxsuptm,https://www.govinfo.gov/content/pkg/FR-1995-04-24/pdf/95-10073.pdf,1995-04-24, LUVOXSUPTM,,,LUVOX<SUP>TM,4085225,Duphar International,6958.0,5886.0,1072.0,"November 19, 1975",1975-11-19,1994-12-05,NDA 20-243,730
Determination of Regulatory Review Period for Purposes of Patent Extension; SERZONERegister,Notice,Health and Human Services Department,"The Food and Drug Administration (FDA) has determined the regulatory review period for SERZONE<Register> and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human drug product.",60 FR 20106,95-10077,https://www.federalregister.gov/documents/1995/04/24/95-10077/determination-of-regulatory-review-period-for-purposes-of-patent-extension-serzoneregister,https://www.govinfo.gov/content/pkg/FR-1995-04-24/pdf/95-10077.pdf,1995-04-24, SERZONERegister,,,SERZONE<Register>,4338317,Bristol-Myers Squibb,4420.0,3216.0,1204.0,"November 17, 1982",1982-11-17,1994-12-22,NDA 20-152,730
Determination of Regulatory Review Period for Purposes of Patent Extension; ZosynRegister; Correction,Notice,Health and Human Services Department,"The Food and Drug Administration (FDA) is correcting the notice that appeared in the Federal Register of August 30, 1994. The document announced FDA's determination of the regulatory review period for purposes of patent extension for Zosyn<Register> (tazobactam sodium and piperacillin sodium). The document was published with some errors. The document incorrectly stated: FDA has determined that the applicable regulatory review period for Zosyn<Register> is 1,819 days. Of this time, 1,038 days occurred during the testing phase of the regulatory review period, while 781 days occurred during the approval phase. 1. The date an exemption under 505(i) of the Federal Food, Drug, and Cosmetic Act became effective: October 31, 1988. The applicant claims July 10, 1988, as the date the investigational new drug application (IND) for Zosyn<Register> (IND 31,705) became effective. However, IND 31,705 was received on June 14, 1988, and it was placed on clinical hold on July 1, 1988. It was removed from clinical hold on October 31, 1988, making the IND effective date October 31, 1988. It should have stated: FDA has determined that the applicable regulatory review period for Zosyn<Register> is 1,906 days. Of this time, 1,125 days occurred during the testing phase of the regulatory review period, while 781 days occurred during the approval phase. 1. The date an exemption under 505(i) of the Federal Food, Drug, and Cosmetic Act became effective: August 5, 1988. The applicant claims July 10, 1988, as the date the investigational new drug application (IND) for Zosyn<Register> (IND 31,705) became effective. However, IND 31,705 was received on June 14, 1988, and it was placed on clinical hold on July 1, 1988. It was removed from clinical hold on August 5, 1988, making the IND effective date August 5, 1988. This document corrects those errors. FOR FURTHER INFORMATION CONTACT: Brian J. Malkin, Office of Health Affairs (HFY-20), Food and Drug Administration, 5600 Fishers Lane, Rockville, MD 20857, 301-443-1382.",60 FR 20107,95-10074,https://www.federalregister.gov/documents/1995/04/24/95-10074/determination-of-regulatory-review-period-for-purposes-of-patent-extension-zosynregister-correction,https://www.govinfo.gov/content/pkg/FR-1995-04-24/pdf/95-10074.pdf,1995-04-24, ZosynRegister, Correction,,,,,,,,,,,,
Determination of Regulatory Review Period for Purposes of Patent Extension; Sonic Accelerated Fracture Healing System (SAFHSRegister),Notice,Health and Human Services Department,"The Food and Drug Administration (FDA) has determined the regulatory review period for SAFHS<Register> and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that medical device.",60 FR 20107,95-10076,https://www.federalregister.gov/documents/1995/04/24/95-10076/determination-of-regulatory-review-period-for-purposes-of-patent-extension-sonic-accelerated,https://www.govinfo.gov/content/pkg/FR-1995-04-24/pdf/95-10076.pdf,1995-04-24, Sonic Accelerated Fracture Healing System (SAFHSRegister),,,,,,,,,,,,,
